unity_time,python_time,latency_ms,fps,num_hands,num_joints
13.610418,73616.420570,-73602810.15,17.44,1,21
13.664992,73616.477810,-73602812.82,18.32,1,21
13.717391,73616.532176,-73602814.78,19.08,1,21
13.778322,73616.584655,-73602806.33,16.41,1,21
13.831752,73616.645780,-73602814.03,18.72,1,21
13.891219,73616.699227,-73602808.01,16.82,1,21
13.947757,73616.758769,-73602811.01,17.69,1,21
14.003573,73616.815170,-73602811.60,17.92,1,21
14.063279,73616.871034,-73602807.76,16.75,1,21
14.122296,73616.930555,-73602808.26,16.94,1,21
14.180845,73616.989833,-73602808.99,17.08,1,21
14.241114,73617.048308,-73602807.19,16.59,1,21
14.301787,73617.108611,-73602806.82,16.48,1,21
14.360628,73617.169339,-73602808.71,17.00,1,21
14.415460,73617.227974,-73602812.51,18.24,1,21
14.475722,73617.282938,-73602807.22,16.59,1,21
14.531472,73617.343143,-73602811.67,17.94,1,21
14.585657,73617.398978,-73602813.32,18.46,1,21
14.645431,73617.453146,-73602807.72,16.73,1,21
14.701720,73617.512737,-73602811.02,17.77,1,21
14.760427,73617.569212,-73602808.78,17.03,1,21
14.815337,73617.628039,-73602812.70,18.21,1,21
14.871630,73617.682777,-73602811.15,17.76,1,21
14.927242,73617.738882,-73602811.64,17.98,1,21
14.981866,73617.794617,-73602812.75,18.31,1,21
15.032326,73617.849150,-73602816.82,19.82,1,21
15.084967,73617.899810,-73602814.84,19.00,1,21
15.138629,73617.952423,-73602813.79,18.64,1,21
15.197120,73618.006292,-73602809.17,17.10,1,21
15.254158,73618.064508,-73602810.35,17.53,1,21
15.311465,73618.121641,-73602810.18,17.45,1,21
15.366854,73618.178971,-73602812.12,18.05,1,21
15.419310,73618.234138,-73602814.83,19.06,1,21
15.472731,73618.286461,-73602813.73,18.72,1,21
15.529457,73618.340033,-73602810.58,17.63,1,21
15.584781,73618.396651,-73602811.87,18.08,1,21
15.638765,73618.451954,-73602813.19,18.52,1,21
15.692477,73618.506025,-73602813.55,18.62,1,21
15.751051,73618.559809,-73602808.76,17.07,1,21
15.814641,73618.618434,-73602803.79,15.73,1,21
15.872687,73618.682036,-73602809.35,17.23,1,21
15.928995,73618.739755,-73602810.76,17.76,1,21
15.985148,73618.796322,-73602811.17,17.81,1,21
16.040198,73618.852480,-73602812.28,18.17,1,21
16.095805,73618.907419,-73602811.61,17.98,1,21
16.147657,73618.963026,-73602815.37,19.29,1,21
16.200514,73619.014790,-73602814.28,18.92,1,21
16.258938,73619.067844,-73602808.91,17.12,1,21
16.315134,73619.126380,-73602811.25,17.79,1,21
16.378175,73619.182236,-73602804.06,15.86,1,21
16.431129,73619.242340,-73602811.21,18.88,1,21
16.487223,73619.298202,-73602810.98,17.83,1,21
16.545363,73619.354597,-73602809.23,17.20,1,21
16.598899,73619.412522,-73602813.62,18.68,1,21
16.659008,73619.466079,-73602807.07,16.64,1,21
16.713799,73619.526223,-73602812.42,18.25,1,21
16.773697,73619.581194,-73602807.50,16.70,1,21
16.835329,73619.641087,-73602805.76,16.23,1,21
16.896958,73619.702778,-73602805.82,16.23,1,21
16.959982,73619.764274,-73602804.29,15.87,1,21
17.013835,73619.827290,-73602813.46,18.57,1,21
17.069670,73619.881105,-73602811.43,17.91,1,21
17.125643,73619.936983,-73602811.34,17.87,1,21
17.182844,73619.993000,-73602810.16,17.48,1,21
17.236933,73620.049944,-73602813.01,18.49,1,21
17.293071,73620.104149,-73602811.08,17.81,1,21
17.345641,73620.160159,-73602814.52,19.02,1,21
17.401785,73620.212854,-73602811.07,17.81,1,21
17.454523,73620.268949,-73602814.43,18.96,1,21
17.509667,73620.321788,-73602812.12,18.13,1,21
17.566822,73620.377077,-73602810.26,17.50,1,21
17.620843,73620.433966,-73602813.12,18.51,1,21
17.683722,73620.487952,-73602804.23,15.90,1,21
17.736459,73620.550863,-73602814.40,18.96,1,21
17.794326,73620.603518,-73602809.19,17.28,1,21
17.847574,73620.661611,-73602814.04,18.78,1,21
17.900262,73620.714657,-73602814.40,18.98,1,21
17.959559,73620.767330,-73602807.77,16.86,1,21
18.017141,73620.826893,-73602809.75,17.37,1,21
18.073950,73620.884196,-73602810.25,17.60,1,21
18.126671,73620.941081,-73602814.41,18.97,1,21
18.183454,73620.994080,-73602810.63,17.61,1,21
18.238418,73621.050536,-73602812.12,18.19,1,21
18.292927,73621.105772,-73602812.85,18.35,1,21
18.347682,73621.159954,-73602812.27,18.26,1,21
18.402719,73621.214837,-73602812.12,18.17,1,21
18.458404,73621.269851,-73602811.45,17.96,1,21
18.515403,73621.325696,-73602810.29,17.54,1,21
18.569351,73621.382814,-73602813.46,18.54,1,21
18.626514,73621.436512,-73602810.00,17.49,1,21
18.684385,73621.493728,-73602809.34,17.28,1,21
18.733930,73621.551529,-73602817.60,20.18,1,21
18.792240,73621.601156,-73602808.92,17.15,1,21
18.846333,73621.659291,-73602812.96,18.49,1,21
18.904113,73621.713747,-73602809.63,17.31,1,21
18.958251,73621.771356,-73602813.10,18.47,1,21
19.013377,73621.825657,-73602812.28,18.14,1,21
19.072210,73621.880494,-73602808.28,17.00,1,21
19.124310,73621.939492,-73602815.18,19.19,1,21
19.182084,73621.991437,-73602809.35,17.31,1,21
19.240104,73622.049263,-73602809.16,17.24,1,21
19.294465,73622.107223,-73602812.76,18.40,1,21
19.351281,73622.161902,-73602810.62,17.60,1,21
19.404027,73622.218714,-73602814.69,18.96,1,21
19.458754,73622.271302,-73602812.55,18.27,1,21
19.514555,73622.326105,-73602811.55,17.92,1,21
19.570367,73622.381764,-73602811.40,17.92,1,21
19.625352,73622.437658,-73602812.31,18.19,1,21
19.681154,73622.492673,-73602811.52,17.92,1,21
19.731973,73622.548272,-73602816.30,19.68,1,21
19.788655,73622.599060,-73602810.41,17.64,1,21
19.843067,73622.656163,-73602813.10,18.38,1,21
19.896276,73622.710174,-73602813.90,18.79,1,21
19.951262,73622.763549,-73602812.29,18.19,1,21
20.003091,73622.818354,-73602815.26,19.29,1,21
20.056846,73622.870331,-73602813.49,18.60,1,21
20.111403,73622.924099,-73602812.70,18.33,1,21
20.172109,73622.978830,-73602806.72,16.47,1,21
20.247502,73623.039412,-73602791.91,13.26,2,42
20.324484,73623.114545,-73602790.06,12.99,2,42
20.401661,73623.191529,-73602789.87,12.96,2,42
20.481703,73623.268740,-73602787.04,12.49,2,42
20.535201,73623.349074,-73602813.87,18.69,1,21
20.595861,73623.402305,-73602806.44,16.49,1,21
20.659053,73623.463297,-73602804.24,15.82,1,21
20.715601,73623.526400,-73602810.80,17.68,1,21
20.767519,73623.582666,-73602815.15,19.26,1,21
20.848990,73623.634746,-73602785.76,12.27,2,42
20.925135,73623.716031,-73602790.90,13.13,2,42
21.004480,73623.792436,-73602787.96,12.60,2,42
21.083818,73623.871661,-73602787.84,12.60,2,42
21.163986,73623.950869,-73602786.88,12.47,2,42
21.245777,73624.031000,-73602785.22,12.23,2,42
21.327116,73624.113022,-73602785.91,12.29,1,21
21.403477,73624.194257,-73602790.78,13.10,1,21
21.461818,73624.270608,-73602808.79,17.14,1,21
21.515654,73624.328921,-73602813.27,18.58,1,21
21.573652,73624.382821,-73602809.17,17.24,1,21
21.625473,73624.440740,-73602815.27,19.30,1,21
21.677902,73624.492718,-73602814.82,19.07,1,21
21.733613,73624.545324,-73602811.71,17.95,1,21
21.786196,73624.600873,-73602814.68,19.02,1,21
21.845928,73624.653315,-73602807.39,16.74,1,21
21.897852,73624.713010,-73602815.16,19.26,1,21
21.952833,73624.765100,-73602812.27,18.19,1,21
22.006469,73624.820111,-73602813.64,18.64,1,21
22.061907,73624.873611,-73602811.70,18.04,1,21
22.122926,73624.929034,-73602806.11,16.39,1,21
22.176509,73624.990153,-73602813.64,18.66,1,21
22.234258,73625.043690,-73602809.43,17.32,1,21
22.287482,73625.101343,-73602813.86,18.79,1,21
22.344430,73625.154733,-73602810.30,17.56,1,21
22.405215,73625.211685,-73602806.47,16.45,1,21
22.458537,73625.272572,-73602814.04,18.75,1,21
22.517046,73625.325811,-73602808.76,17.09,1,21
22.571985,73625.384325,-73602812.34,18.20,1,21
22.627663,73625.439288,-73602811.62,17.96,1,21
22.682878,73625.494990,-73602812.11,18.11,1,21
22.739307,73625.550080,-73602810.77,17.72,1,21
22.790160,73625.606445,-73602816.28,19.66,1,21
22.844501,73625.657354,-73602812.85,18.40,1,21
22.898952,73625.711877,-73602812.92,18.37,1,21
22.954206,73625.766094,-73602811.89,18.10,1,21
23.009202,73625.821301,-73602812.10,18.18,1,21
23.065553,73625.876533,-73602810.98,17.75,1,21
23.121554,73625.932749,-73602811.19,17.86,1,21
23.178275,73625.988801,-73602810.53,17.63,1,21
23.233878,73626.045466,-73602811.59,17.98,1,21
23.294509,73626.101048,-73602806.54,16.49,1,21
23.349732,73626.161728,-73602812.00,18.11,1,21
23.409002,73626.216969,-73602807.97,16.87,1,21
23.469370,73626.276128,-73602806.76,16.56,1,21
23.527236,73626.336885,-73602809.65,17.28,1,21
23.585316,73626.394607,-73602809.29,17.22,1,21
23.640023,73626.452404,-73602812.38,18.28,1,21
23.694175,73626.507374,-73602813.20,18.47,1,21
23.748191,73626.561500,-73602813.31,18.51,1,21
23.803573,73626.615326,-73602811.75,18.06,1,21
23.861908,73626.670926,-73602809.02,17.14,1,21
23.895605,73626.729295,-73602833.69,29.68,0,0
23.926864,73626.763171,-73602836.31,31.99,0,0
23.958751,73626.795243,-73602836.49,31.36,0,0
23.990854,73626.826051,-73602835.20,31.15,0,0
24.026738,73626.858107,-73602831.37,27.87,0,0
24.082075,73626.893973,-73602811.90,18.07,1,21
24.142067,73626.949180,-73602807.11,16.67,1,21
24.195346,73627.009151,-73602813.81,18.77,1,21
24.247827,73627.062525,-73602814.70,19.05,1,21
24.303932,73627.114893,-73602810.96,17.82,1,21
24.364052,73627.171210,-73602807.16,16.63,1,21
24.418743,73627.231390,-73602812.65,18.28,1,21
24.476744,73627.285915,-73602809.17,17.24,1,21
24.534717,73627.343944,-73602809.23,17.25,1,21
24.593309,73627.401947,-73602808.64,17.07,1,21
24.648775,73627.460462,-73602811.69,18.03,1,21
24.697851,73627.516035,-73602818.18,20.38,1,21
24.753440,73627.564963,-73602811.52,17.99,1,21
24.808668,73627.620473,-73602811.80,18.11,1,21
24.864261,73627.675802,-73602811.54,17.99,1,21
24.914042,73627.731350,-73602817.31,20.09,1,21
24.966448,73627.781206,-73602814.76,19.08,1,21
25.020324,73627.833437,-73602813.11,18.56,1,21
25.072464,73627.887603,-73602815.14,19.18,1,21
25.128144,73627.939783,-73602811.64,17.96,1,21
25.183232,73627.995293,-73602812.06,18.15,1,21
25.236331,73628.050716,-73602814.38,18.83,1,21
25.296423,73628.103437,-73602807.01,16.64,1,21
25.348042,73628.163644,-73602815.60,19.37,1,21
25.401745,73628.215419,-73602813.67,18.62,1,21
25.461004,73628.268880,-73602807.88,16.88,1,21
25.515224,73628.328371,-73602813.15,18.44,1,21
25.572543,73628.382635,-73602810.09,17.45,1,21
25.628566,73628.439768,-73602811.20,17.85,1,21
25.682682,73628.495628,-73602812.95,18.48,1,21
25.735007,73628.549908,-73602814.90,19.11,1,21
25.787975,73628.602165,-73602814.19,18.88,1,21
25.839637,73628.655143,-73602815.51,19.36,1,21
25.898137,73628.706984,-73602808.85,17.09,1,21
25.951491,73628.765228,-73602813.74,18.74,1,21
26.006445,73628.818562,-73602812.12,18.20,1,21
26.060574,73628.873649,-73602813.07,18.47,1,21
26.114611,73628.927821,-73602813.21,18.51,1,21
26.169067,73628.981849,-73602812.78,18.36,1,21
26.229512,73629.036231,-73602806.72,16.54,1,21
26.283548,73629.096636,-73602813.09,18.51,1,21
26.341064,73629.150875,-73602809.81,17.39,1,21
26.393065,73629.208232,-73602815.17,19.23,1,21
26.448000,73629.260393,-73602812.39,18.20,1,21
26.501049,73629.315228,-73602814.18,18.85,1,21
26.555218,73629.368200,-73602812.98,18.46,1,21
26.612160,73629.422354,-73602810.19,17.56,1,21
26.665727,73629.479357,-73602813.63,18.67,1,21
26.726872,73629.532881,-73602806.01,16.35,1,21
26.782282,73629.594139,-73602811.86,18.05,1,21
26.833156,73629.649396,-73602816.24,19.66,1,21
26.890152,73629.700315,-73602810.16,17.55,1,21
26.946106,73629.757561,-73602811.46,17.87,1,21
26.998425,73629.813327,-73602814.90,19.11,1,21
27.053638,73629.865671,-73602812.03,18.11,1,21
27.107646,73629.920768,-73602813.12,18.52,1,21
27.166686,73629.975079,-73602808.39,16.94,1,21
27.225167,73630.033895,-73602808.73,17.10,1,21
27.277796,73630.090717,-73602812.92,19.00,1,21
27.332876,73630.144920,-73602812.04,18.16,1,21
27.387444,73630.200034,-73602812.59,18.33,1,21
27.438350,73630.254533,-73602816.18,19.64,1,21
27.490088,73630.305588,-73602815.50,19.33,1,21
27.540923,73630.357288,-73602816.36,19.67,1,21
27.601477,73630.408272,-73602806.80,16.51,1,21
27.654829,73630.468658,-73602813.83,18.74,1,21
27.708707,73630.522108,-73602813.40,18.56,1,21
27.765976,73630.575880,-73602809.90,17.46,1,21
27.817679,73630.633120,-73602815.44,19.34,1,21
27.879332,73630.684923,-73602805.59,16.22,1,21
27.937183,73630.746376,-73602809.19,17.29,1,21
27.991106,73630.804338,-73602813.23,18.54,1,21
28.048084,73630.858293,-73602810.21,17.55,1,21
28.080500,73630.915179,-73602834.68,30.85,0,0
28.112262,73630.948466,-73602836.20,31.48,0,0
28.145995,73630.979674,-73602833.68,29.64,0,0
28.176997,73631.013300,-73602836.30,32.26,0,0
28.211596,73631.044242,-73602832.65,28.90,0,0
