unity_time,python_time,latency_ms,fps,num_hands,num_joints
18.291180,72775.316076,-72757024.90,18.17,1,21
18.348613,72775.371300,-72757022.69,17.41,1,21
18.405142,72775.428351,-72757023.21,17.69,1,21
18.459305,72775.485072,-72757025.77,18.46,1,21
18.511000,72775.539371,-72757028.37,19.34,1,21
18.570342,72775.591046,-72757020.70,16.85,1,21
18.626796,72775.650288,-72757023.49,17.71,1,21
18.686028,72775.706818,-72757020.79,16.88,1,21
18.739146,72775.765842,-72757026.70,18.83,1,21
18.802577,72775.819203,-72757016.63,15.77,1,21
18.868276,72775.882392,-72757014.12,15.22,1,21
18.923841,72775.947997,-72757024.16,18.00,1,21
18.981803,72776.003687,-72757021.88,17.25,1,21
19.036365,72776.061426,-72757025.06,18.33,1,21
19.087367,72776.116085,-72757028.72,19.61,1,21
19.144506,72776.167298,-72757022.79,17.50,1,21
19.201959,72776.224229,-72757022.27,17.41,1,21
19.254219,72776.281965,-72757027.75,19.13,1,21
19.311112,72776.334126,-72757023.01,17.58,1,21
19.367120,72776.391096,-72757023.98,17.85,1,21
19.422826,72776.447151,-72757024.33,17.95,1,21
19.476072,72776.502577,-72757026.50,18.78,1,21
19.527984,72776.555996,-72757028.01,19.26,1,21
19.578382,72776.607855,-72757029.47,19.84,1,21
19.630445,72776.658167,-72757027.72,19.21,1,21
19.684557,72776.710400,-72757025.84,18.48,1,21
19.738831,72776.764422,-72757025.59,18.43,1,21
19.791554,72776.818876,-72757027.32,18.97,1,21
19.861863,72776.871592,-72757009.73,14.22,1,21
19.925495,72776.937520,-72757012.03,15.72,1,21
19.984481,72777.005195,-72757020.71,16.95,1,21
20.048508,72777.064009,-72757015.50,15.62,1,21
20.118091,72777.128200,-72757010.11,14.37,1,21
20.186859,72777.197723,-72757010.86,14.54,1,21
20.243661,72777.266559,-72757022.90,17.60,1,21
20.296874,72777.323314,-72757026.44,18.79,1,21
20.350775,72777.376604,-72757025.83,18.55,1,21
20.404686,72777.430508,-72757025.82,18.55,1,21
20.459540,72777.484194,-72757024.65,18.23,1,21
20.516961,72777.539136,-72757022.17,17.42,1,21
20.572922,72777.596536,-72757023.61,17.87,1,21
20.632599,72777.652482,-72757019.88,16.76,1,21
20.685325,72777.712439,-72757027.11,18.97,1,21
20.740394,72777.764982,-72757024.59,18.16,1,21
20.793516,72777.820272,-72757026.76,18.82,1,21
20.849055,72777.873422,-72757024.37,18.01,1,21
20.900407,72777.928713,-72757028.31,19.47,1,21
20.951397,72777.979916,-72757028.52,19.61,1,21
21.003110,72778.030993,-72757027.88,19.34,1,21
21.053227,72778.082723,-72757029.50,19.95,1,21
21.108851,72778.132700,-72757023.85,17.98,1,21
21.162291,72778.188667,-72757026.38,18.71,1,21
21.214700,72778.241935,-72757027.24,19.08,1,21
21.266290,72778.294208,-72757027.92,19.38,1,21
21.314969,72778.345894,-72757030.93,20.54,1,21
21.365931,72778.394647,-72757028.72,19.62,1,21
21.421530,72778.445509,-72757023.98,17.99,1,21
21.473360,72778.501096,-72757027.74,19.29,1,21
21.536055,72778.553116,-72757017.06,15.95,1,21
21.587236,72778.615736,-72757028.50,19.54,1,21
21.648139,72778.666934,-72757018.80,16.42,1,21
21.702442,72778.727993,-72757025.55,18.41,1,21
21.753249,72778.782164,-72757028.91,19.68,1,21
21.803198,72778.832998,-72757029.80,20.02,1,21
21.857146,72778.882839,-72757025.69,18.54,1,21
21.912715,72778.936746,-72757024.03,18.00,1,21
21.966059,72778.992572,-72757026.51,18.75,1,21
22.016595,72779.045619,-72757029.02,19.79,1,21
22.070741,72779.096218,-72757025.48,18.47,1,21
22.123901,72779.150575,-72757026.67,18.81,1,21
22.180093,72779.203608,-72757023.52,17.80,1,21
22.234195,72779.259805,-72757025.61,18.48,1,21
22.286670,72779.313839,-72757027.17,19.06,1,21
22.340899,72779.366284,-72757025.39,18.44,1,21
22.394431,72779.420460,-72757026.03,18.68,1,21
22.447300,72779.473979,-72757026.68,18.91,1,21
22.502522,72779.527147,-72757024.62,18.11,1,21
22.555229,72779.582113,-72757026.88,18.97,1,21
22.613135,72779.634790,-72757021.66,17.27,1,21
22.671992,72779.692906,-72757020.91,16.99,1,21
22.722656,72779.751499,-72757028.84,19.74,1,21
22.778202,72779.802299,-72757024.10,18.00,1,21
22.830115,72779.857827,-72757027.71,19.26,1,21
22.882879,72779.909638,-72757026.76,18.95,1,21
22.936395,72779.962470,-72757026.07,18.69,1,21
22.985540,72780.016058,-72757030.52,20.35,1,21
23.039426,72780.065130,-72757025.70,18.56,1,21
23.092124,72780.118972,-72757026.85,18.98,1,21
23.149416,72780.171812,-72757022.40,17.45,1,21
23.201985,72780.229235,-72757027.25,19.02,1,21
23.258976,72780.281550,-72757022.57,17.55,1,21
23.309905,72780.338656,-72757028.75,19.64,1,21
23.362419,72780.389492,-72757027.07,19.04,1,21
23.415593,72780.442202,-72757026.61,18.81,1,21
23.469757,72780.495301,-72757025.54,18.46,1,21
23.523361,72780.549427,-72757026.07,18.66,1,21
23.576063,72780.602895,-72757026.83,18.97,1,21
23.629767,72780.655701,-72757025.93,18.62,1,21
23.684688,72780.709416,-72757024.73,18.21,1,21
23.737400,72780.764253,-72757026.85,18.97,1,21
23.787064,72780.816979,-72757029.91,20.14,1,21
