unity_time,python_time,latency_ms,fps,num_hands,num_joints
11.378577,75286.490928,-75275112.35,0.09,1,21
11.425526,75286.545534,-75275120.01,21.30,1,21
11.470217,75286.590897,-75275120.68,22.38,1,21
11.514893,75286.639095,-75275124.20,22.38,1,21
11.562043,75286.684053,-75275122.01,21.21,1,21
11.610354,75286.731024,-75275120.67,20.70,1,21
11.656459,75286.779330,-75275122.87,21.69,1,21
11.701077,75286.825358,-75275124.28,22.41,1,21
11.748073,75286.870204,-75275122.13,21.28,1,21
11.793142,75286.917107,-75275123.97,22.19,1,21
11.839379,75286.962096,-75275122.72,21.63,1,21
11.885506,75287.008327,-75275122.82,21.68,1,21
11.929967,75287.054508,-75275124.54,22.49,1,21
11.976531,75287.099094,-75275122.56,21.48,1,21
12.023209,75287.145418,-75275122.21,21.42,1,21
12.068390,75287.192271,-75275123.88,22.13,1,21
12.115186,75287.237280,-75275122.09,21.37,1,21
12.161683,75287.284210,-75275122.53,21.51,1,21
12.207365,75287.330760,-75275123.39,21.89,1,21
12.256184,75287.376276,-75275120.09,20.48,1,21
12.301773,75287.425125,-75275123.35,21.93,1,21
12.350760,75287.470881,-75275120.12,20.41,1,21
12.393646,75287.519799,-75275126.15,23.32,1,21
12.437485,75287.562667,-75275125.18,22.81,1,21
12.481616,75287.606567,-75275124.95,22.66,1,21
12.528357,75287.650617,-75275122.26,21.39,1,21
12.573295,75287.697344,-75275124.05,22.25,1,21
12.619609,75287.742363,-75275122.75,21.59,1,21
12.664781,75287.788458,-75275123.68,22.14,1,21
12.709313,75287.833685,-75275124.37,22.46,1,21
12.757123,75287.878488,-75275121.37,20.92,1,21
12.802690,75287.925997,-75275123.31,21.95,1,21
12.847984,75287.971673,-75275123.69,22.08,1,21
12.891953,75288.017144,-75275125.19,22.74,1,21
12.937425,75288.060847,-75275123.42,21.99,1,21
12.982042,75288.106364,-75275124.32,22.41,1,21
13.031073,75288.151165,-75275120.09,20.40,1,21
13.082453,75288.200246,-75275117.79,19.46,1,21
13.130912,75288.251426,-75275120.51,20.64,1,21
13.178122,75288.300147,-75275122.02,21.18,1,21
13.225713,75288.347121,-75275121.41,21.01,1,21
13.273786,75288.394805,-75275121.02,20.80,1,21
13.320772,75288.442751,-75275121.98,21.28,1,21
13.368478,75288.489815,-75275121.34,20.96,1,21
13.414926,75288.537421,-75275122.50,21.53,1,21
13.461633,75288.583856,-75275122.22,21.41,1,21
13.508541,75288.630567,-75275122.03,21.32,1,21
13.557480,75288.677477,-75275120.00,20.43,1,21
13.603139,75288.726634,-75275123.50,21.90,1,21
13.650120,75288.772003,-75275121.88,21.28,1,21
13.696307,75288.819170,-75275122.86,21.65,1,21
13.741542,75288.865381,-75275123.84,22.11,1,21
13.789963,75288.910612,-75275120.65,20.65,1,21
13.837839,75288.958876,-75275121.04,20.89,1,21
13.884400,75289.006793,-75275122.39,21.48,1,21
13.931489,75289.053271,-75275121.78,21.24,1,21
13.979752,75289.100547,-75275120.80,20.72,1,21
14.026299,75289.148667,-75275122.37,21.48,1,21
14.075590,75289.195229,-75275119.64,20.29,1,21
14.122322,75289.244494,-75275122.17,21.40,1,21
14.170396,75289.291524,-75275121.13,20.80,1,21
14.220180,75289.339292,-75275119.11,20.09,1,21
14.277468,75289.389185,-75275111.72,17.46,1,21
14.335462,75289.446409,-75275110.95,17.24,1,21
14.387282,75289.501352,-75275114.07,19.30,1,21
14.442806,75289.556206,-75275113.40,18.01,1,21
14.503998,75289.611821,-75275107.82,16.34,1,21
14.567269,75289.673249,-75275105.98,15.81,1,21
14.625692,75289.736276,-75275110.58,17.12,1,21
14.681587,75289.794593,-75275113.01,17.89,1,21
14.738606,75289.850769,-75275112.16,17.54,1,21
